r2_train,r2_val,fold,seed_set,finetune_percentage,rmse_train,rmse_val
0.9525895054795871,0.7325123956413288,0,0,0.01,0.12349683308341299,0.3116451530725297
0.9629680087556023,0.7114936335217543,1,0,0.01,0.11100654959197179,0.3232368867906334
0.9498008001967403,0.7508913728162309,2,0,0.01,0.13227694524997338,0.3032701716670183
0.9541067148004401,0.7338437161115235,3,0,0.01,0.1283872617755153,0.30803124272737764
0.9571165830771476,0.7165273521412672,4,0,0.01,0.1247387821627513,0.3216479979220844
0.9607621315070645,0.7975477574320968,0,0,0.02,0.11562591662954272,0.27112517300187167
0.9566816399603032,0.7550536303277429,1,0,0.02,0.11951314468004016,0.2978370476829227
0.9559249074135804,0.794368624478366,2,0,0.02,0.12262574908265159,0.2755370492680348
0.9553124727447814,0.7826998958122113,3,0,0.02,0.12256468910552483,0.27832766307400114
0.959300795628484,0.7775343856730285,4,0,0.02,0.12087164845125252,0.28494216445730614
0.9620368953839721,0.8331193802599356,0,0,0.04,0.11498623504441007,0.24615660766966413
0.9625204197943639,0.8133382870692571,1,0,0.04,0.1149564585342596,0.25999849742519643
0.9638037250612914,0.8346347454384617,2,0,0.04,0.11339161867532682,0.24709129458157336
0.9644626756649132,0.8186294825681808,3,0,0.04,0.11234055116751877,0.25427856500548723
0.959590606407055,0.8186186790220722,4,0,0.04,0.11928459820773703,0.257289197605682
0.9597451476518847,0.8632894002602122,0,0,0.1,0.11990191840056647,0.22279715482732523
0.9617624197678445,0.8434672578194411,1,0,0.1,0.11809521519145628,0.23809255273125982
0.9617607807350227,0.8674013312980711,2,0,0.1,0.11838463867528722,0.2212610121809018
0.9610953143317956,0.8579336503449146,3,0,0.1,0.11800443795083185,0.22504637232814317
0.9574655207618544,0.8721345497446299,4,0,0.1,0.12337115956310724,0.2160239378399254
0.9528037234069289,0.8776766324322637,0,0,0.2,0.13057367721072094,0.21074790233038798
0.9519675132942489,0.8701777985723185,1,0,0.2,0.13222045606326802,0.21682916598019347
0.9523013388926745,0.8804571320556132,2,0,0.2,0.13130470663592408,0.2100860174280178
0.9511059926924172,0.8704184561823913,3,0,0.2,0.13168154697480788,0.2149304662232778
0.9506902716584873,0.8823382727298967,4,0,0.2,0.1340631312042324,0.2072253501208869
0.9589329335294866,0.7038786794466096,0,1,0.01,0.1118124582012168,0.3279014860945572
0.9570453302911571,0.738706849286143,1,1,0.01,0.13125946927923726,0.3076148007554714
0.957362092972396,0.7302530523906194,2,1,0.01,0.12093069992246688,0.3155829869665553
0.9567769637765865,0.7489223564974317,3,1,0.01,0.12813506115517218,0.2991785326622149
0.9618346367736391,0.7436313232150862,4,1,0.01,0.11753559396265807,0.3058846990237565
0.9589458813637257,0.7484885014261364,0,1,0.02,0.11397588894901978,0.3021951351787234
0.9600381605663255,0.762747132488327,1,1,0.02,0.12389429169284089,0.29312236076771014
0.9577935809078717,0.7735396980970801,2,1,0.02,0.11739093583323101,0.2891554310842634
0.9622836725633497,0.7953994938263889,3,1,0.02,0.11728334081564312,0.2700721226254398
0.965132153574753,0.7840676769412722,4,1,0.02,0.11190721689371058,0.2807269458633009
0.9699808350660718,0.8223817888648093,0,1,0.04,0.103394907333756,0.2539523828103909
0.9656947994116418,0.8068745655475915,1,1,0.04,0.11535317001852245,0.26446180122678337
0.9593124906891835,0.8169249388191446,2,1,0.04,0.12058356904736317,0.25998596685162484
0.9676429216910127,0.8147818861634974,3,1,0.04,0.10787605707868528,0.2569615448031465
0.9651412932464508,0.8146075399603281,4,1,0.04,0.11099287282210557,0.26011853894555853
0.9639865633934759,0.858351522431335,0,1,0.1,0.11316603121294613,0.22678509174474848
0.9606477237710943,0.8474785482594354,1,1,0.1,0.12095667436438483,0.23502208773734248
0.956136668458053,0.8631459815312565,2,1,0.1,0.12440666911918277,0.22478332447641802
0.9617244489348232,0.8632946407061657,3,1,0.1,0.11667271797731862,0.22075938534390438
0.9616574183178606,0.8401141732507919,4,1,0.1,0.11658126276208883,0.24156291170881436
0.9532035479340771,0.8783610937115176,0,1,0.2,0.1300286371729029,0.21015745450958115
0.9503007309096121,0.858078040144993,1,1,0.2,0.13474074665849992,0.22670861021894556
0.9491608595896124,0.8825380701633432,2,1,0.2,0.13547587283988494,0.2082494575397815
0.9508428270346265,0.8766511990525401,3,1,0.2,0.1323773556584577,0.20969779891887427
0.9512519240715324,0.8831892397798259,4,1,0.2,0.13162015475465305,0.20647463046275885
0.9507653268669967,0.7289930906028423,0,2,0.01,0.13845986401699859,0.3136885942325478
0.9657910229004874,0.6980214686544217,1,2,0.01,0.1076450382960215,0.3306977567876299
0.9656342111589578,0.7328263193201076,2,2,0.01,0.11781336909409736,0.3140741185923704
0.9662708605272341,0.744551081462562,3,2,0.01,0.10970520033606804,0.3017716518067443
0.9573178050336831,0.7501028922630453,4,2,0.01,0.12558101123827725,0.30199926582723124
0.9642115262222088,0.7926060099506921,0,2,0.02,0.11573047698394695,0.2744142308901398
0.957174429009856,0.7765157666117898,1,2,0.02,0.12245684577464833,0.28448977343302906
0.9710640278554178,0.7610719046249745,2,2,0.02,0.10201447260987237,0.2970085307910313
0.9666076886246603,0.7714292439221218,3,2,0.02,0.10459417568438825,0.2854543978240074
0.9641562129327232,0.7517239561266231,4,2,0.02,0.11419936382049531,0.30101814879545125
0.9681382032276871,0.8246137069240772,0,2,0.04,0.1095431158968359,0.2523517790185968
0.9615676707801878,0.81150821925583,1,2,0.04,0.11584804337377283,0.2612699266621345
0.965705447728921,0.8204752190707592,2,2,0.04,0.11065843658948264,0.2574527384358433
0.9617622018010752,0.7972845320492439,3,2,0.04,0.11211538655689533,0.2688251210267122
0.96976314878172,0.8029019474244963,4,2,0.04,0.10709484290915039,0.2682047338531533
0.9610962501084017,0.8582216753679488,0,2,0.1,0.11887419123066756,0.22688901320329694
0.9607997334144265,0.8583671393114224,1,2,0.1,0.12054692803114096,0.22647758648691882
0.9597916303173909,0.8582135983523402,2,2,0.1,0.12077424862876165,0.2287981999307094
0.9591264261938757,0.8281234025930124,3,2,0.1,0.12011217201671616,0.247533954280978
0.9612371503385225,0.8492837561184559,4,2,0.1,0.12066251130062991,0.23453372612294338
0.9508862868667343,0.8694534219395167,0,2,0.2,0.132597566205575,0.21771647414719986
0.9517910084522174,0.86578746406179,1,2,0.2,0.13311322500798647,0.22046505237860728
0.95080897072603,0.8776889394892359,2,2,0.2,0.13304169034939428,0.2125045233340577
0.9484590431564243,0.8638899104116095,3,2,0.2,0.13602562106300936,0.22027822373593697
0.9497641290804258,0.8803865530714353,4,2,0.2,0.13587103040442036,0.20893696177029203
